[2025-09-10 01:02:23] Agent starting... ServerBase=https://pc-admin-server.onrender.com
[2025-09-10 01:02:42] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:43] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35841,"Time":"2025-09-10T01:02:43.9323149\u002B08:00"}
[2025-09-10 01:02:44] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:45] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35842,"Time":"2025-09-10T01:02:45.1866613\u002B08:00"}
[2025-09-10 01:02:45] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:46] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35844,"Time":"2025-09-10T01:02:46.4421523\u002B08:00"}
[2025-09-10 01:02:46] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:47] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35845,"Time":"2025-09-10T01:02:47.6965231\u002B08:00"}
[2025-09-10 01:02:47] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:49] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35846,"Time":"2025-09-10T01:02:49.0009668\u002B08:00"}
[2025-09-10 01:02:49] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:50] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35847,"Time":"2025-09-10T01:02:50.2685976\u002B08:00"}
[2025-09-10 01:02:50] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:51] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35849,"Time":"2025-09-10T01:02:51.5062288\u002B08:00"}
[2025-09-10 01:02:51] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:52] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35850,"Time":"2025-09-10T01:02:52.7631638\u002B08:00"}
[2025-09-10 01:02:53] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:54] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35851,"Time":"2025-09-10T01:02:54.0473199\u002B08:00"}
[2025-09-10 01:02:54] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:55] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35852,"Time":"2025-09-10T01:02:55.3101877\u002B08:00"}
[2025-09-10 01:02:55] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:56] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35854,"Time":"2025-09-10T01:02:56.5858238\u002B08:00"}
[2025-09-10 01:02:56] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:57] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35855,"Time":"2025-09-10T01:02:57.8368328\u002B08:00"}
[2025-09-10 01:02:58] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:02:59] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35856,"Time":"2025-09-10T01:02:59.1304348\u002B08:00"}
[2025-09-10 01:02:59] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:00] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35857,"Time":"2025-09-10T01:03:00.3960415\u002B08:00"}
[2025-09-10 01:03:00] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:01] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35859,"Time":"2025-09-10T01:03:01.6587255\u002B08:00"}
[2025-09-10 01:03:01] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:02] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35860,"Time":"2025-09-10T01:03:02.8936433\u002B08:00"}
[2025-09-10 01:03:03] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:04] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35861,"Time":"2025-09-10T01:03:04.1237380\u002B08:00"}
[2025-09-10 01:03:04] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:05] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35862,"Time":"2025-09-10T01:03:05.3861061\u002B08:00"}
[2025-09-10 01:03:05] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:06] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35864,"Time":"2025-09-10T01:03:06.6668018\u002B08:00"}
[2025-09-10 01:03:06] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:07] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35865,"Time":"2025-09-10T01:03:07.9099633\u002B08:00"}
[2025-09-10 01:03:08] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:09] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35866,"Time":"2025-09-10T01:03:09.1507655\u002B08:00"}
[2025-09-10 01:03:09] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:10] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35867,"Time":"2025-09-10T01:03:10.3978465\u002B08:00"}
[2025-09-10 01:03:10] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T18:02:26.5605636+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:11] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35869,"Time":"2025-09-10T01:03:11.6192293\u002B08:00"}
[2025-09-10 01:03:11] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:12] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35870,"Time":"2025-09-10T01:03:12.8611017\u002B08:00"}
[2025-09-10 01:03:13] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:14] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35871,"Time":"2025-09-10T01:03:14.1092261\u002B08:00"}
[2025-09-10 01:03:14] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:14] [Policy] SHOW lock screen
[2025-09-10 01:03:15] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35872,"Time":"2025-09-10T01:03:15.3463280\u002B08:00"}
[2025-09-10 01:03:15] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:16] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35874,"Time":"2025-09-10T01:03:16.5755638\u002B08:00"}
[2025-09-10 01:03:16] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:17] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35875,"Time":"2025-09-10T01:03:17.8519449\u002B08:00"}
[2025-09-10 01:03:18] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:19] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35876,"Time":"2025-09-10T01:03:19.0844929\u002B08:00"}
[2025-09-10 01:03:19] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:20] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35877,"Time":"2025-09-10T01:03:20.3294088\u002B08:00"}
[2025-09-10 01:03:20] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:21] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35879,"Time":"2025-09-10T01:03:21.5577932\u002B08:00"}
[2025-09-10 01:03:21] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:22] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35880,"Time":"2025-09-10T01:03:22.7882953\u002B08:00"}
[2025-09-10 01:03:23] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:24] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35881,"Time":"2025-09-10T01:03:24.0227229\u002B08:00"}
[2025-09-10 01:03:24] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:25] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35882,"Time":"2025-09-10T01:03:25.2562070\u002B08:00"}
[2025-09-10 01:03:25] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:26] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35884,"Time":"2025-09-10T01:03:26.4987462\u002B08:00"}
[2025-09-10 01:03:26] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:27] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35885,"Time":"2025-09-10T01:03:27.7670546\u002B08:00"}
[2025-09-10 01:03:27] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:29] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35886,"Time":"2025-09-10T01:03:29.0015801\u002B08:00"}
[2025-09-10 01:03:29] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:30] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35887,"Time":"2025-09-10T01:03:30.2328029\u002B08:00"}
[2025-09-10 01:03:30] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:31] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35889,"Time":"2025-09-10T01:03:31.4503484\u002B08:00"}
[2025-09-10 01:03:31] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:32] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35890,"Time":"2025-09-10T01:03:32.7160772\u002B08:00"}
[2025-09-10 01:03:32] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:33] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35891,"Time":"2025-09-10T01:03:33.9619629\u002B08:00"}
[2025-09-10 01:03:34] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:35] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35892,"Time":"2025-09-10T01:03:35.2091879\u002B08:00"}
[2025-09-10 01:03:35] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:36] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35894,"Time":"2025-09-10T01:03:36.4388996\u002B08:00"}
[2025-09-10 01:03:36] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:37] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35895,"Time":"2025-09-10T01:03:37.6719414\u002B08:00"}
[2025-09-10 01:03:37] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:39] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35896,"Time":"2025-09-10T01:03:39.0267040\u002B08:00"}
[2025-09-10 01:03:39] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:40] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35897,"Time":"2025-09-10T01:03:40.2628312\u002B08:00"}
[2025-09-10 01:03:40] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:41] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35899,"Time":"2025-09-10T01:03:41.4928896\u002B08:00"}
[2025-09-10 01:03:41] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:03:42] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":35900,"Time":"2025-09-10T01:03:42.7167863\u002B08:00"}
[2025-09-10 01:03:42] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"admin123"},"command":null}
[2025-09-10 01:19:26] Agent starting... ServerBase=https://pc-admin-server.onrender.com
[2025-09-10 01:19:27] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":36844,"Time":"2025-09-10T01:19:26.6774591\u002B08:00"}
[2025-09-10 01:19:28] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"0098"},"command":null}
[2025-09-10 01:19:28] [Policy] SHOW lock screen
[2025-09-10 01:19:29] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":36846,"Time":"2025-09-10T01:19:29.0797167\u002B08:00"}
[2025-09-10 01:19:29] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"0098"},"command":null}
[2025-09-10 01:19:30] [Status] {"Machine":"DESKTOP-UH52STM","OS":"Microsoft Windows 10.0.19045","UptimeSec":36848,"Time":"2025-09-10T01:19:30.6816891\u002B08:00"}
[2025-09-10 01:19:30] [Server] 200 {"message":"Status stored","policy":{"allowedUntil":"2025-09-09T17:03:13.3721698+00:00","requireLock":false,"manualUnlockGraceMinutes":60,"unlockPassword":"0098"},"command":null}
